name,description,price,available_quantity,category, id_category
Dog Food - Premium,High-quality food for adult dogs,45.99,30,Food,1
Dog Toy - Squeaky Bone,A durable squeaky toy for dogs,12.99,50,Toys,2
Dog Bed - Medium,A comfortable bed for medium-sized dogs,75.00,20,Beds,3
Collar - Adjustable,Adjustable collar for small to large dogs,15.99,100,Accessories,4
Leash - Nylon,Strong and durable leash,10.50,70,Accessories,4
Shampoo - Hypoallergenic,Gentle hypoallergenic shampoo for dogs,8.99,40,Grooming,5
Dog Chew Toy - Durable,A tough chew toy for active dogs,13.99,60,Toys,2
Pet Carrier - Small,Lightweight carrier for small dogs and cats,40.00,15,Travel,6
Pet Food Bowl - Stainless Steel,Durable bowl for food or water,9.99,100,Accessories,4
Dog Jacket - Waterproof,Waterproof jacket for cold weather,25.00,35,Clothing,7
Dental Chews - Pack of 10,Helps keep dogs' teeth clean,7.50,80,Food,1
Flea Collar - Large,Protects dogs from fleas and ticks,15.00,50,Health,8
Dog Treats - Peanut Butter,Peanut butter-flavored treats,5.99,200,Treats,9
